node,node_dc,latitude,longitude,urban_group,air_region,airport_name
PEK,0.887356,40.084152,116.592735,bth,northChina,北京首都
PVG,0.772414,31.14337,121.805199,yrd,eastChina,上海浦东
XIY,0.770115,34.438157,108.764819,none,northWest,西安咸阳
CTU,0.721839,30.57852,103.946999,none,southWest,成都双流
CKG,0.696552,29.71921,106.641602,none,southWest,重庆江北
CAN,0.675862,23.392429,113.298698,prd,southChina,广州白云
KMG,0.641379,25.101944,102.929169,none,southWest,昆明长水
SZX,0.63908,22.63925,113.8106,prd,southChina,深圳宝安
HGH,0.602299,30.2295,120.434402,yrd,eastChina,杭州萧山
TSN,0.572414,39.124352,117.3461,bth,northChina,天津滨海
HAK,0.526437,19.934851,110.4589,none,southChina,海口美兰
CSX,0.510345,28.196667,113.220833,none,central,长沙黄花
CGO,0.478161,34.519669,113.840797,none,central,郑州新郑
KWE,0.471264,26.538521,106.800697,none,southWest,贵阳龙洞堡
HRB,0.452874,45.623402,126.250298,none,northEast,哈尔滨太平
TAO,0.445977,36.266102,120.374397,none,eastChina,青岛流亭
SHE,0.445977,41.639839,123.483398,none,northEast,沈阳桃仙
DLC,0.441379,38.96566,121.538597,none,northEast,大连周水子
NKG,0.43908,31.742041,118.862,yrd,eastChina,南京禄口
LHW,0.436782,36.51524,103.620697,none,northWest,兰州中川
XMN,0.436782,24.544029,118.127701,none,southChina,厦门高崎
WUH,0.425287,30.783751,114.208099,none,central,武汉天河
NNG,0.4,22.608259,108.172401,none,central,南宁吴圩
TNA,0.390805,36.857208,117.215897,none,eastChina,济南遥墙
FOC,0.374713,25.935061,119.6632,none,southChina,福州长乐
NGB,0.365517,29.826679,121.461899,yrd,eastChina,宁波栎社
SHA,0.358621,31.196099,121.339766,yrd,eastChina,上海虹桥
SJW,0.337931,38.274376,114.694427,bth,northChina,石家庄正定
HET,0.337931,40.853503,111.826381,none,northChina,呼和浩特白塔
URC,0.337931,43.907101,87.474243,none,northChina,乌鲁木齐地窝堡
SYX,0.335632,18.302891,109.412201,none,none,三亚凤凰
INC,0.331034,38.322769,106.393303,none,none,银川河东
TYN,0.328736,37.746891,112.628403,none,none,太原武宿
WNZ,0.324138,27.91222,120.851898,none,none,温州龙湾
KHN,0.324138,28.865,115.900002,none,none,南昌昌北
NAY,0.31954,39.78279877,116.3880005,bth,none,北京南苑
KWL,0.303448,25.2181,110.039101,none,none,桂林两江
ZUH,0.289655,22.00666,113.376297,prd,none,珠海金湾
HFE,0.28046,31.986345,116.970474,yrd,none,合肥新桥
YNT,0.273563,37.657223,120.987221,none,none,烟台蓬莱
CGQ,0.264368,43.996208,125.685303,none,none,长春龙嘉
XNN,0.257471,36.525322,102.037537,none,none,西宁曹家堡
SWA,0.245977,23.5525,116.505836,none,none,揭阳潮汕
LJG,0.216092,26.683332,100.25,none,none,丽江三义
JJN,0.206897,24.794776,118.593069,none,none,泉州晋江
MIG,0.193103,31.428986,104.743592,none,none,绵阳南郊
WUX,0.186207,31.492889,120.424377,yrd,none,无锡硕放
YIH,0.181609,30.556473,111.479942,none,none,宜昌三峡
BAV,0.181609,40.55999,109.996902,none,none,包头二里半
NTG,0.172414,32.072922,120.975601,yrd,none,南通兴东
ZYI,0.172414,27.807552,107.250977,none,none,遵义新舟
HIA,0.170115,33.788792,119.131102,none,none,淮安涟水
DSN,0.165517,39.495789,109.867412,none,none,鄂尔多斯伊金霍洛
XUZ,0.156322,34.052925,117.554077,none,none,徐州观音
DYG,0.154023,29.101431,110.447943,none,none,张家界荷花
ZHA,0.154023,21.214439,110.358299,none,none,湛江湛江
BHY,0.151724,21.53944,109.2938,none,none,北海福成
YNZ,0.147126,33.385555,120.125275,yrd,none,盐城南洋
WDS,0.144828,32.591667,110.907776,none,none,十堰武当山
XFN,0.142529,32.150551,112.290802,none,none,襄阳刘集
HLD,0.14023,49.209334,119.830223,none,none,呼伦贝尔东山
LYG,0.14023,34.571659,118.873596,none,none,连云港白塔埠
HUZ,0.137931,23.0497,114.607144,prd,none,惠州平潭
JNG,0.137931,35.29364,116.353255,none,none,济宁曲阜
YTY,0.137931,32.563057,119.718887,yrd,none,扬州泰州
YCU,0.135632,35.116669,111.039719,none,none,运城张孝
BAR,0.133333,19.139692,110.457703,none,none,琼海博鳌
LYI,0.126437,35.046112,118.411667,none,none,临沂沭埠岭
LYA,0.126437,34.741112,112.388298,none,none,洛阳北郊
TEN,0.126437,27.882209,109.3144,none,none,铜仁凤凰
KOW,0.124138,25.851667,114.776665,none,none,赣州黄金
CZX,0.124138,31.91972,119.778603,yrd,none,常州奔牛
DLU,0.11954,25.647097,100.320711,none,none,大理大理
LXA,0.11954,29.29777,90.911942,none,none,拉萨贡嘎
HNY,0.11954,26.721945,112.618057,none,none,衡阳南岳
BFJ,0.117241,27.300278,105.301392,none,none,毕节飞雄
WXN,0.114943,30.799679,108.426949,none,none,万州五桥
WUT,0.110345,38.599167,112.967781,none,none,忻州五台山
WEH,0.105747,37.185852,122.234969,none,none,威海大水泊
DAT,0.105747,40.062064,113.486564,none,none,大同云冈
KRL,0.101149,41.618911,86.138043,none,none,库尔勒库尔勒
WMT,0.101149,27.59,106.999725,none,none,遵义新舟
UYN,0.098851,38.358264,109.599254,none,none,榆林榆阳
TXN,0.096552,29.730427,118.261088,none,none,黄山屯溪
YBP,0.091954,28.797781,104.550293,none,none,宜宾菜坝
LZO,0.091954,29.030001,105.470001,none,none,泸州云龙
YIW,0.087356,29.344563,120.028809,yrd,none,义乌义乌
TVS,0.087356,39.720066,118.006926,bth,none,唐山三女河
NAO,0.087356,30.793442,106.168002,none,none,南充高坪
NNY,0.087356,32.98,112.610001,none,none,南阳姜营
NBS,0.087356,42.071926,127.609218,none,none,白山长白山
LZH,0.085057,24.204142,109.398889,none,none,柳州白莲
JHG,0.085057,21.972467,100.76475,none,none,西双版纳嘎洒
HZG,0.082759,33.131684,107.207614,none,none,汉中城固
CGD,0.082759,28.91888,111.640198,none,none,常德桃花源
CIH,0.082759,36.247454,113.131759,none,none,长治王村
HDG,0.078161,36.523888,114.43,bth,none,邯郸邯郸
FUG,0.078161,32.879154,115.740674,none,none,阜阳阜阳
TGO,0.078161,43.55666,122.199699,none,none,通辽通辽
RIZ,0.078161,35.402879,119.331808,none,none,日照山字河
ACX,0.078161,25.082371,104.962212,none,none,兴义兴义
DOY,0.073563,37.503772,118.79283,none,none,东营胜利
LFQ,0.073563,36.131668,111.658058,none,none,临汾乔李
YIN,0.073563,43.957321,81.33329,none,none,伊宁伊宁
LPF,0.073563,26.602572,104.972842,none,none,六盘水月照
HSN,0.073563,29.932602,122.364994,yrd,none,舟山普陀山
HJJ,0.073563,27.442036,109.709861,none,none,怀化芷江
NZH,0.071264,49.569633,117.337784,none,none,满洲里西郊
WUS,0.068966,27.698972,118.004959,none,none,武夷山武夷山
MXZ,0.068966,24.268999,116.103996,none,none,梅县长岗岌
ENH,0.068966,30.320278,109.485001,none,none,恩施许家坪
JGS,0.068966,26.853279,114.742649,none,none,井冈山井冈山
WEF,0.066667,36.646822,119.122362,none,none,潍坊潍坊
MDG,0.064368,44.52,129.559998,none,none,牡丹江海浪
UCB,0.064368,41.127163,113.117591,none,none,乌兰察布集宁
KRY,0.064368,45.46725,84.956487,none,none,克拉玛依克拉玛依
HYN,0.064368,28.559344,121.430963,yrd,none,台州路桥
KHG,0.064368,39.541251,76.024599,none,none,喀什喀什
LLV,0.064368,37.684589,111.148478,none,none,吕梁大武
