target,source,value
华东,上海,28711
西南,成都,24349
华南,深圳,22394
华南,广州,20472
华东,杭州,18051
西北,西安,16577
西南,重庆,16177
西南,昆明,14275
东北,哈尔滨,13677
西北,乌鲁木齐,11615
华北,北京,13677
华东,上海,11318
华东,青岛,8902
华东,济南,7577
华东,南京,6053
华东,杭州,5271
华东,烟台,5080
中部,郑州,4969
华北,天津,4655
华南,广州,4216
华北,北京,16577
华南,广州,14252
华南,深圳,11778
西北,乌鲁木齐,11429
西北,榆林,10935
华东,上海,10141
西北,银川,9871
西南,昆明,9346
华东,杭州,9046
西北,西宁,8865
华南,深圳,34787
华北,北京,33724
华南,广州,30995
西南,成都,23024
西南,重庆,20449
西北,西安,19043
华东,青岛,19022
华东,厦门,18106
东北,大连,15295
东北,沈阳,14350
华北,北京,11198
华南,海口,7865
西南,重庆,7135
西北,西安,6697
华东,上海,6648
西南,昆明,6499
西南,成都,6285
华东,厦门,5955
华北,天津,5805
华南,三亚,5566
华北,北京,24349
华南,广州,19290
华南,深圳,17837
西南,昆明,14107
华东,上海,12193
华东,上海,10831
西南,拉萨,10149
华东,杭州,10071
华东,南京,8059
西北,乌鲁木齐,7784
华东,上海,24879
华北,北京,20472
西南,成都,19290
华东,杭州,17652
西南,重庆,17135
华东,南京,14560
西北,西安,14252
西南,昆明,13914
华南,海口,12114
中部,郑州,9230
